Code,Title,Description\n
generalYearlyTurnoverForBidder,General Yearly Turnover For Bidder,Information on Turnover for bidder only applicable to generalYearlyTurnover criterion\n
generalYearlyTurnoverForJVCA,General Yearly Turnover For JVCA,Information on Turnover for JVCA only applicable to generalYearlyTurnover criterion\n
financialInformationActualForPreviousYears,Financial Information Actual For Previous Years,Applicable for otherEconomicOrFinancialRequirements criterion\n
financialInformationProjectedForTheNextTwoYears,Financial Information Projected For The Next Two Years,Applicable for otherEconomicOrFinancialRequirements criterion\n
setupOfEconomicOperatorGeneral,Setup Of Economic Operator - General,Applicable to setUpOfEconomicOperator criterion\n
setupOfEconomicOperatorSpecific,Setup Of Economic Operator -Specific,Applicable to setUpOfEconomicOperator criterion\n
informationOnManagerailStaff,Information On Managerail Staff,Applicable to numberOfManagerialStaff criterion\n
candidate,Candidate,Applicable to averageAnnualManpower criterion\n
employer,Employer,Applicable to averageAnnualManpower criterion\n
educationalQualifications,Educational Qualifications,Applicable to educationalAndProfessionalQualifications criterion\n
professionalQualifications,Professional Qualifications,Applicable to educationalAndProfessionalQualifications criterion\n
equipmentCapacity,Equipment Capacity,Applicable to toolsPlantOrTechnicalEquipment criterion\n
manufacturingCapacity,Manufacturing Capacity,Applicable to toolsPlantOrTechnicalEquipment criterion\n
forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfBidder,For Works Contracts: Performance Of Works Of The Specified Type Of Bidder,Applicable to performanceOfTheSpecifiedType criterion\n
forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfBidder,For Supply Contracts: Performance Of Deliveries Of The Specified Type Of Bidder,Applicable to performanceOfTheSpecifiedType criterion\n
forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfBidder,For Service Contracts: Performance Of Services Of The Specified Type Of Bidder,Applicable to performanceOfTheSpecifiedType criterion\n
forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfJVCA,For Works Contracts: Performance Of Works Of The Specified Type Of JVCA,Applicable to performanceOfTheSpecifiedType criterion\n
forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfJVCA,For Supply Contracts: Performance Of Deliveries Of The Specified Type Of JVCA,Applicable to performanceOfTheSpecifiedType criterion\n
forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfJVCA,For Service Contracts: Performance Of Services Of The Specified Type Of JVCA,Applicable to performanceOfTheSpecifiedType criterion\n
