Code,Title,Description\n
generalTurnoverForYear1,General Turnover for year 1,Applicable to generalYearlyTurnoverForBidder Requirement Group\n
generalTurnoverForYear1InStateCurrency,General Turnover for year 1 in State Currency,Applicable to generalYearlyTurnoverForBidder Requirement Group\n
generalTurnoverForYear2,General Turnover for year 2,Applicable to generalYearlyTurnoverForBidder Requirement Group\n
generalTurnoverForYear2InStateCurrency,General Turnover for year 2 in State Currency,Applicable to generalYearlyTurnoverForBidder Requirement Group\n
generalTurnoverForYear3,General Turnover for year 3,Applicable to generalYearlyTurnoverForBidder Requirement Group\n
generalTurnoverForYear3InStateCurrency,General Turnover for year 3 in State Currency,Applicable to generalYearlyTurnoverForBidder Requirement Group\n
namesOfAllPartnersOfAJVCA,Names of all partners of a JVCA,Applicable to generalYearlyTurnoverForJVCA Requirement Group\n
generalTurnoverForLeadPartnerOfJVCAForYear1,General Turnover for Lead Partner of JVCA for year 1,Applicable to generalYearlyTurnoverForJVCA Requirement Group\n
generalTurnoverForLeadPartnerOfJVCAForYear1InStateCurrency,General Turnover for Lead Partner of JVCA for year 1 in State Currency,Applicable to generalYearlyTurnoverForJVCA Requirement Group\n
generalTurnoverForPartnerOfJVCAForYear1,General Turnover for Partner of JVCA for year 1,Applicable to generalYearlyTurnoverForJVCA Requirement Group\n
generalTurnoverForPartnerOfJVCAForYear1InStateCurrency,General Turnover for Partner of JVCA for year 1 in State Currency,Applicable to generalYearlyTurnoverForJVCA Requirement Group\n
averageYearlyTurnover,Average Yearly Turnover,Applicable to averageYearlyTurnover criterion\n
totalAssets,Total Assets,Applicable to financialInformationActualForPreviousYears and financialInformationProjectedForTheNextTwoYears Requirement Groups\n
currentAssets,Current Assets,Applicable to financialInformationActualForPreviousYears and financialInformationProjectedForTheNextTwoYears Requirement Groups\n
totalLiabilities,Total Liabilities,Applicable to financialInformationActualForPreviousYears and financialInformationProjectedForTheNextTwoYears Requirement Groups\n
currentLiabilities,Current Liabilities,Applicable to financialInformationActualForPreviousYears and financialInformationProjectedForTheNextTwoYears Requirement Groups\n
profitsBeforeTaxes,Profits Before Taxes,Applicable to financialInformationActualForPreviousYears and financialInformationProjectedForTheNextTwoYears Requirement Groups\n
profitsAfterTaxes,Profits After Taxes,Applicable to financialInformationActualForPreviousYears and financialInformationProjectedForTheNextTwoYears Requirement Groups\n
netWorth,Net Worth,Applicable to financialInformationActualForPreviousYears and financialInformationProjectedForTheNextTwoYears Requirement Groups\n
totalRevenues,Total Revenues,Applicable to financialInformationActualForPreviousYears and financialInformationProjectedForTheNextTwoYears Requirement Groups\n
specificAverageTurnover,Specific Average Turnover,Applicable to specificAverageTurnover criterion\n
specificYearlyTurnover,Specific Yearly Turnover,Applicable to specificAverageTurnover criterion\n
setupOfEconomicOperator,Setup Of Economic Operator,Applicable to setupOfEconomicOperatorGeneral Requirement Group\n
financialRatio,Financial Ratio,Applicable to financialRatio criterion\n
theInsuredAmountInItsProfessionalRiskIndemnityInsurance,The Insured Amount In Its Professional Risk Indemnity Insurance,Applicable to professionalRiskInsurance criterion\n
company,Company,Applicable to informationOnManagerailStaff and candidate and employer Requirement Groups\n
project,Project,Applicable to informationOnManagerailStaff and candidate and employer Requirement Groups\n
position,Position,Applicable to informationOnManagerailStaff and candidate Requirement Groups\n
